AFF_LOVE_POINT	Liebespunkte: %d%%
ALCHEMY_BRILLIANT	Brilliant
ALCHEMY_CLEAR	Klar
ALCHEMY_EXCELLENT	Exzellent
ALCHEMY_FLAWLESS	Lupenrein
ALCHEMY_MTSY	Mystisch
ALIGNMENT_NAME	Rangpunkte:
ALL_CHANNEL	Alle ch	
ALL_KINGDOMS	|cFF97AE99All kingdoms:|h|r	
APRIL	April	
ATTR_6TH_7TH_ADD_QUESTION1	Du kannst diesen Gegenstand nicht benutzen, während ein Bonus hinzugefügt wird.
ATTR_6TH_7TH_ADD_QUESTION2	Willst du den Bonus wirklich hinzüfugen?
ATTR_6TH_7TH_DESC1	a. Du musst die für den Gegenstand erforderlichen Materialien hinzufügen, um einen 6. und 7.
ATTR_6TH_7TH_DESC2	b. Jeder powershard erhöht die Erfolgsrate um 2%.
ATTR_6TH_7TH_DESC3	c. Verwende ein Additiv, um die Erfolgsrate noch weiter zu erhöhen.
ATTR_6TH_7TH_DESC4	d. Es dauert 24 Stunden, um einen Bonus hinzuzufügen. Während dieser Zeit behält der NPC den Gegenstand, zu dem der Bonus hinzugefügt werden soll. Sobald der Vorgang abgeschlossen ist, kannst du ihn wieder einsammeln.
ATTR_6TH_7TH_POSSIBILITY	Du kannst einen zusätzlichen Bonus hinzufügen.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Erfolgsrate: %.1f%%
AUGUST	August	
AUTOSKILL_0_1	Trainiere deine Körperkraft	
AUTOSKILL_0_2	Trainiere deine Körperresistenz	
AUTOSKILL_1_1	Schärfe deine Dolche zum Töten	
AUTOSKILL_1_2	Benutze deinen Bogen zum Kämpfen	
AUTOSKILL_2_1	Liebe deine Waffen	
AUTOSKILL_2_2	Spiele mit schwarzer Magie	
AUTOSKILL_3_1	Nutze deine Kraft, um zu helfen	
AUTOSKILL_3_2	Nutze das Licht, um zu heilen	
BANK_ADD_TITLE	Bank: Enter Yang	
BANK_APPEND_LOG_ADD	Joined	
BANK_APPEND_LOG_CHANGE_PW	Change pin	
BANK_APPEND_LOG_RECEIVED	Received	
BANK_APPEND_LOG_SEND	Send	
BANK_APPEND_LOG_WITHDRAW	Retired	
BANK_CHANGEPW_TITLE	Change Password	
BANK_CHOOSE_BOARD_TITLE	Bank account	
BANK_CHOOSE_CREATE	Create Account	
BANK_CHOOSE_LOGIN	Login	
BANK_CONECTING_DIALOG	Page: [%s - %d]	
BANK_CREATE_TITLE	Create a bank account	
BANK_CURRENT_PAGE		
BANK_LINE_ACCOUNT	Bill	
BANK_LINE_AMOUNT	Amount	
BANK_LINE_PASSWORD	Password:	
BANK_LINE_REPASSWORD	Repeat password:	
BANK_LOGIN_TITLE	Connecting the bank account	
BANK_SEND_TITLE	Send money to a character	
BANK_TITLE_LOGS_ACTION	#Action	
BANK_TITLE_LOGS_AMOUNT	#Amount	
BANK_TITLE_LOGS_DATE	#Date	
BANK_TITLE_LOGS_HOUR	#Time	
BANK_TITLE_LOGS_IP	#Ip	
BANK_TITLE_LOGS_TARGET	#De || #For	
BANK_TITLE_NAME	Bank System - [i] Ultimos 1025 records	
BANK_TOOLTIP_BTN_ADD	1.11e+121	
BANK_TOOLTIP_BTN_CHANGE	Change Bank Password	
BANK_TOOLTIP_BTN_SEND	Send Yang to a player	
BANK_TOOLTIP_BTN_WITHDRAW	Remove Yang	
BANK_TYPE_AMOUNT	Amount:	
BANK_WITHDRAW_TITLE	Bank: Remove Yang	
